"region","category","total_ad_spend","total_revenue","total_clicks","revenue_per_pound","clicks_per_pound","avg_ad_ctr","avg_ad_cpc"
"Asia","Electronics","806821.13","3804680.75","175054.00","4.72","0.22","0.1054","1.06"
"North America","Electronics","787027.46","3725905.14","175698.00","4.73","0.22","0.1052","1.05"
"Europe","Electronics","788583.99","3796234.36","174636.00","4.81","0.22","0.1043","1.05"
"North America","Home Appliances","720060.12","3488245.74","160210.00","4.84","0.22","0.1056","1.05"
"North America","Toys","758135.98","3696048.05","168271.00","4.88","0.22","0.1058","1.04"
"Asia","Toys","765690.58","3749743.14","170646.00","4.90","0.22","0.1043","1.05"
"Europe","Toys","764891.70","3749051.27","171914.00","4.90","0.22","0.1049","1.05"
"Asia","Home Appliances","723272.51","3568283.18","160637.00","4.93","0.22","0.1053","1.05"
"Europe","Home Appliances","699985.59","3502678.30","156507.00","5.00","0.22","0.1046","1.04"
"North America","Clothing","710584.06","3685779.57","157144.00","5.19","0.22","0.1047","1.05"
"Europe","Clothing","702617.59","3656389.48","156986.00","5.20","0.22","0.1043","1.05"
"Asia","Clothing","710182.68","3692730.21","160005.00","5.20","0.23","0.1040","1.06"
"Europe","Books","704879.92","3694627.92","154582.00","5.24","0.22","0.1055","1.06"
"Asia","Books","693136.89","3677433.85","153785.00","5.31","0.22","0.1052","1.05"
"North America","Books","711853.77","3823250.11","157842.00","5.37","0.22","0.1058","1.05"
