"customer_id","region","recency_rank","frequency_rank","monetary_rank","rfm_score"
"Customer_18839","Asia","18","2","1","21"
"Customer_17790","North America","8","5","8","21"
"Customer_12135","Europe","8","7","6","21"
"Customer_1005","Asia","8","7","7","22"
"Customer_10503","North America","8","6","9","23"
"Customer_5945","Europe","12","6","5","23"
"Customer_13046","Asia","11","4","11","26"
"Customer_13760","Asia","8","7","12","27"
"Customer_3496","Europe","8","7","13","28"
"Customer_5557","Asia","8","9","14","31"
"Customer_1772","Asia","8","8","16","32"
"Customer_1329","North America","7","7","18","32"
"Customer_1048","North America","5","4","24","33"
"Customer_6964","Asia","8","8","19","35"
"Customer_19844","North America","8","6","21","35"
"Customer_7322","North America","4","5","26","35"
"Customer_9217","Europe","8","6","22","36"
"Customer_2379","Asia","23","5","10","38"
"Customer_19113","North America","4","5","30","39"
"Customer_15647","Europe","8","10","25","43"
"Customer_16351","Asia","8","3","35","46"
"Customer_540","Asia","37","5","4","46"
"Customer_2673","Asia","8","9","29","46"
"Customer_4968","Asia","8","7","32","47"
"Customer_692","North America","6","5","38","49"
"Customer_1314","North America","8","8","36","52"
"Customer_16295","North America","29","4","23","56"
"Customer_9216","North America","8","9","39","56"
"Customer_7177","Europe","8","7","41","56"
"Customer_19284","North America","8","6","44","58"
"Customer_14492","North America","8","10","40","58"
"Customer_12797","Europe","11","6","42","59"
"Customer_18852","Europe","25","4","31","60"
"Customer_7135","North America","57","1","2","60"
"Customer_17974","Europe","41","5","15","61"
"Customer_4130","Europe","8","8","45","61"
"Customer_7232","North America","10","6","49","65"
"Customer_2300","Asia","8","9","50","67"
"Customer_5438","Asia","4","6","57","67"
"Customer_6607","North America","48","3","17","68"
"Customer_1288","Asia","8","9","51","68"
"Customer_19430","Europe","9","4","56","69"
"Customer_15972","North America","19","7","43","69"
"Customer_8860","Asia","1","4","66","71"
"Customer_11013","North America","8","8","55","71"
"Customer_18521","North America","34","4","34","72"
"Customer_12054","Asia","65","4","3","72"
"Customer_1943","Asia","8","5","63","76"
"Customer_11540","Europe","8","5","64","77"
"Customer_12338","Europe","40","4","37","81"
"Customer_19129","North America","8","5","69","82"
"Customer_13544","North America","19","4","59","82"
"Customer_6997","Asia","2","3","81","86"
"Customer_12947","North America","25","5","58","88"
"Customer_6497","North America","17","6","67","90"
"Customer_13028","North America","38","5","47","90"
"Customer_2011","Europe","8","7","75","90"
"Customer_4051","Europe","6","6","78","90"
"Customer_10059","North America","6","5","82","93"
"Customer_437","Asia","33","6","54","93"
"Customer_14112","Europe","15","6","77","98"
"Customer_18210","North America","71","2","27","100"
"Customer_18884","North America","21","7","73","101"
"Customer_2842","Europe","8","7","91","106"
"Customer_5047","Europe","8","9","90","107"
"Customer_9858","North America","15","7","88","110"
"Customer_11634","Asia","13","3","96","112"
"Customer_14895","North America","29","5","83","117"
"Customer_9510","North America","3","5","110","118"
"Customer_19961","North America","93","5","20","118"
"Customer_10652","North America","8","7","107","122"
"Customer_3640","Europe","55","6","61","122"
"Customer_3000","Europe","46","6","71","123"
"Customer_14738","North America","28","4","93","125"
"Customer_1651","Europe","52","6","70","128"
"Customer_4654","North America","90","6","33","129"
"Customer_14250","Asia","19","6","105","130"
"Customer_11225","Europe","6","6","119","131"
"Customer_5654","Europe","65","6","62","133"
"Customer_14613","Asia","65","5","65","135"
"Customer_3992","North America","17","7","113","137"
"Customer_16548","North America","35","6","98","139"
"Customer_6338","Europe","8","6","126","140"
"Customer_2802","Asia","3","7","130","140"
"Customer_5691","North America","49","6","85","140"
"Customer_19311","North America","65","7","72","144"
"Customer_2590","North America","28","4","112","144"
"Customer_8797","Asia","8","7","132","147"
"Customer_16860","Europe","49","5","94","148"
"Customer_18760","Europe","51","5","92","148"
"Customer_1092","North America","60","5","84","149"
"Customer_17854","Europe","4","7","140","151"
"Customer_10452","Europe","2","3","146","151"
"Customer_10780","Asia","25","6","121","152"
"Customer_8393","Europe","8","9","137","154"
"Customer_3048","Asia","52","7","95","154"
"Customer_95","Asia","104","4","52","160"
"Customer_2393","Europe","32","6","123","161"
"Customer_16132","Europe","109","6","46","161"
"Customer_10893","Asia","46","6","114","166"
