"region","category","discount_bucket","avg_revenue","transactions"
"Asia","Books","0–5%","693.58","954"
"Asia","Books","10–15%","611.16","1127"
"Asia","Books","15–20%","572.96","1027"
"Asia","Books","20–25%","513.12","1052"
"Asia","Books","25–30%","506.67","1028"
"Asia","Books","30%+","453.13","107"
"Asia","Books","5–10%","644.24","977"
"Asia","Clothing","0–5%","642.44","976"
"Asia","Clothing","10–15%","583.99","1101"
"Asia","Clothing","15–20%","564.59","1081"
"Asia","Clothing","20–25%","520.93","1101"
"Asia","Clothing","25–30%","506.40","1082"
"Asia","Clothing","30%+","460.49","119"
"Asia","Clothing","5–10%","624.29","1019"
"Asia","Electronics","0–5%","592.64","1137"
"Asia","Electronics","10–15%","556.12","1166"
"Asia","Electronics","15–20%","504.85","1214"
"Asia","Electronics","20–25%","494.26","1237"
"Asia","Electronics","25–30%","455.09","1193"
"Asia","Electronics","30%+","387.84","111"
"Asia","Electronics","5–10%","573.02","1173"
"Asia","Home Appliances","0–5%","631.39","1003"
"Asia","Home Appliances","10–15%","552.35","1121"
"Asia","Home Appliances","15–20%","542.79","1040"
"Asia","Home Appliances","20–25%","483.77","1084"
"Asia","Home Appliances","25–30%","480.60","1066"
"Asia","Home Appliances","30%+","449.83","110"
"Asia","Home Appliances","5–10%","596.50","1115"
"Asia","Toys","0–5%","592.95","1066"
"Asia","Toys","10–15%","534.34","1089"
"Asia","Toys","15–20%","533.79","1183"
"Asia","Toys","20–25%","513.52","1210"
"Asia","Toys","25–30%","483.76","1131"
"Asia","Toys","30%+","393.54","108"
"Asia","Toys","5–10%","595.60","1164"
"Europe","Books","0–5%","670.89","920"
"Europe","Books","10–15%","596.92","1027"
"Europe","Books","15–20%","558.78","1034"
"Europe","Books","20–25%","544.32","1099"
"Europe","Books","25–30%","501.39","1090"
"Europe","Books","30%+","472.10","106"
"Europe","Books","5–10%","661.41","1046"
"Europe","Clothing","0–5%","631.31","1032"
"Europe","Clothing","10–15%","594.02","1044"
"Europe","Clothing","15–20%","578.19","1057"
"Europe","Clothing","20–25%","528.10","1081"
"Europe","Clothing","25–30%","493.66","1043"
"Europe","Clothing","30%+","469.71","96"
"Europe","Clothing","5–10%","613.86","1047"
"Europe","Electronics","0–5%","590.60","1041"
"Europe","Electronics","10–15%","540.70","1181"
"Europe","Electronics","15–20%","525.81","1303"
"Europe","Electronics","20–25%","484.38","1083"
"Europe","Electronics","25–30%","458.06","1223"
"Europe","Electronics","30%+","452.88","125"
"Europe","Electronics","5–10%","579.55","1236"
"Europe","Home Appliances","0–5%","626.01","1012"
"Europe","Home Appliances","10–15%","580.39","1069"
"Europe","Home Appliances","15–20%","536.82","1068"
"Europe","Home Appliances","20–25%","497.43","1084"
"Europe","Home Appliances","25–30%","467.62","1040"
"Europe","Home Appliances","30%+","420.61","103"
"Europe","Home Appliances","5–10%","592.89","1023"
"Europe","Toys","0–5%","626.41","1013"
"Europe","Toys","10–15%","541.25","1150"
"Europe","Toys","15–20%","539.39","1206"
"Europe","Toys","20–25%","501.52","1135"
"Europe","Toys","25–30%","447.11","1170"
"Europe","Toys","30%+","437.08","131"
"Europe","Toys","5–10%","603.27","1147"
"North America","Books","0–5%","689.95","965"
"North America","Books","10–15%","633.48","1078"
"North America","Books","15–20%","565.55","1124"
"North America","Books","20–25%","549.56","1044"
"North America","Books","25–30%","503.49","1055"
"North America","Books","30%+","432.34","111"
"North America","Books","5–10%","662.78","1035"
"North America","Clothing","0–5%","681.01","985"
"North America","Clothing","10–15%","579.64","1039"
"North America","Clothing","15–20%","557.01","1107"
"North America","Clothing","20–25%","535.55","1075"
"North America","Clothing","25–30%","502.06","1038"
"North America","Clothing","30%+","447.09","113"
"North America","Clothing","5–10%","622.61","1042"
"North America","Electronics","0–5%","586.79","1061"
"North America","Electronics","10–15%","534.98","1193"
"North America","Electronics","15–20%","516.23","1217"
"North America","Electronics","20–25%","480.16","1149"
"North America","Electronics","25–30%","456.35","1197"
"North America","Electronics","30%+","408.14","116"
"North America","Electronics","5–10%","587.55","1177"
"North America","Home Appliances","0–5%","633.45","981"
"North America","Home Appliances","10–15%","527.37","1079"
"North America","Home Appliances","15–20%","529.84","1103"
"North America","Home Appliances","20–25%","507.90","1132"
"North America","Home Appliances","25–30%","447.11","1032"
"North America","Home Appliances","30%+","470.59","102"
"North America","Home Appliances","5–10%","597.93","1052"
"North America","Toys","0–5%","626.30","1037"
"North America","Toys","10–15%","549.26","1162"
"North America","Toys","15–20%","530.93","1188"
"North America","Toys","20–25%","488.67","1093"
"North America","Toys","25–30%","468.43","1087"
"North America","Toys","30%+","440.65","125"
"North America","Toys","5–10%","581.02","1169"
