"customer_id","recency_rank","frequency_rank","monetary_rank","rfm_score"
"Customer_16807","1","7","7","15"
"Customer_10503","8","7","5","20"
"Customer_16743","1","1","20","22"
"Customer_18839","18","4","2","24"
"Customer_16840","12","5","9","26"
"Customer_18212","1","4","21","26"
"Customer_4968","8","7","12","27"
"Customer_2379","23","5","1","29"
"Customer_9217","8","7","14","29"
"Customer_2776","13","6","10","29"
"Customer_5945","12","9","8","29"
"Customer_7322","4","7","19","30"
"Customer_18564","6","3","23","32"
"Customer_540","2","9","22","33"
"Customer_15573","14","6","13","33"
"Customer_10780","25","7","4","36"
"Customer_1288","8","12","17","37"
"Customer_8385","17","6","16","39"
"Customer_18896","4","8","27","39"
"Customer_12054","16","6","18","40"
"Customer_166","8","11","25","44"
"Customer_14694","15","6","26","47"
"Customer_9216","8","11","29","48"
"Customer_16075","9","6","36","51"
"Customer_19228","12","9","32","53"
"Customer_16369","2","9","42","53"
"Customer_17974","24","6","24","54"
"Customer_16860","12","4","40","56"
"Customer_10074","10","7","41","58"
"Customer_5281","1","7","51","59"
"Customer_1994","23","7","30","60"
"Customer_4036","19","9","33","61"
"Customer_10588","20","8","34","62"
"Customer_6607","48","4","11","63"
"Customer_4654","1","10","52","63"
"Customer_4726","22","6","37","65"
"Customer_19844","8","8","49","65"
"Customer_13544","19","7","39","65"
"Customer_1329","7","11","48","66"
"Customer_15972","19","10","38","67"
"Customer_10497","3","8","57","68"
"Customer_5075","7","9","53","69"
"Customer_2393","32","7","31","70"
"Customer_15119","8","7","60","75"
"Customer_12338","12","6","58","76"
"Customer_10581","2","6","69","77"
"Customer_2590","28","5","44","77"
"Customer_4289","39","10","28","77"
"Customer_13022","21","5","54","80"
"Customer_1005","8","11","61","80"
