"region","category","roi","total_revenue","total_ad_spend","transactions"
"North America","Books","4.37","3823250.11","711853.77","6412"
"Asia","Books","4.31","3677433.85","693136.89","6272"
"Europe","Books","4.24","3694627.92","704879.92","6322"
"Europe","Clothing","4.20","3656389.48","702617.59","6400"
"Asia","Clothing","4.20","3692730.21","710182.68","6479"
"North America","Clothing","4.19","3685779.57","710584.06","6399"
"Europe","Home Appliances","4.00","3502678.30","699985.59","6399"
"Asia","Home Appliances","3.93","3568283.18","723272.51","6539"
"Europe","Toys","3.90","3749051.27","764891.70","6952"
"Asia","Toys","3.90","3749743.14","765690.58","6951"
"North America","Toys","3.88","3696048.05","758135.98","6861"
"North America","Home Appliances","3.84","3488245.74","720060.12","6481"
"Europe","Electronics","3.81","3796234.36","788583.99","7192"
"North America","Electronics","3.73","3725905.14","787027.46","7110"
"Asia","Electronics","3.72","3804680.75","806821.13","7231"
