"week_start","region","roi","total_revenue","total_ad_spend"
"2023-12-04 00:00:00+00","Asia","4.28","204491.57","38695.65"
"2023-12-04 00:00:00+00","Europe","3.78","199537.30","41745.11"
"2023-12-04 00:00:00+00","North America","4.18","203353.92","39232.83"
"2023-12-11 00:00:00+00","Asia","3.77","343111.86","71908.73"
"2023-12-11 00:00:00+00","Europe","4.04","336691.36","66809.73"
"2023-12-11 00:00:00+00","North America","4.09","354975.05","69672.77"
"2023-12-18 00:00:00+00","Asia","3.90","331266.29","67606.64"
"2023-12-18 00:00:00+00","Europe","3.95","355805.03","71902.62"
"2023-12-18 00:00:00+00","North America","3.90","336587.73","68692.13"
"2023-12-25 00:00:00+00","Asia","4.09","350531.45","68848.02"
"2023-12-25 00:00:00+00","Europe","4.19","360017.44","69366.06"
"2023-12-25 00:00:00+00","North America","3.95","346700.77","69972.72"
"2024-01-01 00:00:00+00","Asia","4.04","397325.75","78864.78"
"2024-01-01 00:00:00+00","Europe","4.41","364375.67","67369.20"
"2024-01-01 00:00:00+00","North America","4.17","360066.04","69673.11"
"2024-01-08 00:00:00+00","Asia","3.89","342930.59","70114.61"
"2024-01-08 00:00:00+00","Europe","3.82","323234.56","67085.75"
"2024-01-08 00:00:00+00","North America","3.85","328823.39","67745.16"
"2024-01-15 00:00:00+00","Asia","3.98","351750.05","70595.60"
"2024-01-15 00:00:00+00","Europe","3.82","362512.15","75212.76"
"2024-01-15 00:00:00+00","North America","3.74","341647.72","72071.74"
"2024-01-22 00:00:00+00","Asia","3.91","330340.08","67266.71"
"2024-01-22 00:00:00+00","Europe","4.15","376045.23","73068.05"
"2024-01-22 00:00:00+00","North America","3.72","351110.18","74400.89"
"2024-01-29 00:00:00+00","Asia","4.04","341632.56","67803.90"
"2024-01-29 00:00:00+00","Europe","3.98","328696.08","65961.08"
"2024-01-29 00:00:00+00","North America","4.12","369034.60","72130.84"
"2024-02-05 00:00:00+00","Asia","4.27","360617.66","68466.99"
"2024-02-05 00:00:00+00","Europe","3.58","338859.48","74002.06"
"2024-02-05 00:00:00+00","North America","3.76","326545.63","68536.51"
"2024-02-12 00:00:00+00","Asia","4.00","350354.08","70043.07"
"2024-02-12 00:00:00+00","Europe","3.97","341542.66","68777.55"
"2024-02-12 00:00:00+00","North America","4.27","348292.25","66053.63"
"2024-02-19 00:00:00+00","Asia","4.00","332555.36","66482.58"
"2024-02-19 00:00:00+00","Europe","4.17","345207.85","66765.44"
"2024-02-19 00:00:00+00","North America","4.28","365100.86","69156.21"
"2024-02-26 00:00:00+00","Asia","4.07","376162.11","74176.39"
"2024-02-26 00:00:00+00","Europe","3.78","360319.94","75392.41"
"2024-02-26 00:00:00+00","North America","3.98","348643.53","69983.84"
"2024-03-04 00:00:00+00","Asia","3.95","361141.08","72917.15"
"2024-03-04 00:00:00+00","Europe","3.88","345803.70","70847.16"
"2024-03-04 00:00:00+00","North America","3.80","352475.78","73394.73"
"2024-03-11 00:00:00+00","Asia","3.73","385480.16","81563.34"
"2024-03-11 00:00:00+00","Europe","3.98","350615.56","70473.78"
"2024-03-11 00:00:00+00","North America","3.72","330958.59","70171.39"
"2024-03-18 00:00:00+00","Asia","3.84","344537.27","71153.79"
"2024-03-18 00:00:00+00","Europe","3.78","336971.30","70471.97"
"2024-03-18 00:00:00+00","North America","4.14","384077.60","74783.83"
"2024-03-25 00:00:00+00","Asia","4.09","337822.63","66425.91"
"2024-03-25 00:00:00+00","Europe","4.19","346129.75","66651.62"
"2024-03-25 00:00:00+00","North America","3.66","343448.89","73665.73"
"2024-04-01 00:00:00+01","Asia","3.81","313295.05","65092.29"
"2024-04-01 00:00:00+01","Europe","3.72","344388.16","72966.38"
"2024-04-01 00:00:00+01","North America","3.74","331384.24","69872.12"
"2024-04-08 00:00:00+01","Asia","4.08","339241.27","66818.78"
"2024-04-08 00:00:00+01","Europe","4.23","379430.10","72559.39"
"2024-04-08 00:00:00+01","North America","3.83","370408.65","76671.96"
